Country,City,AccentCity,Region,Population,Latitude,Longitude
hu,a-akna,Á-akna,12,,47.716667,18.733333
hu,aba,Aba,08,4479,47.029072,18.521721
hu,abadi ret,Abádi Rét,20,,47.5,20.616667
hu,abadszalok,Abádszalók,20,4654,47.466667,20.6
hu,abaliget,Abaliget,02,,46.142575,18.116832
hu,abapuszta,Abapuszta,18,,47.707941,21.871019
hu,abasar,Abasár,11,3189,47.797049,20.003236
hu,abaujalpar,Abaújalpár,04,,48.316667,21.233333
hu,abaujdevecser,Abaújdevecser,04,,48.333333,21.133333
hu,abaujker,Abaújkér,04,,48.3,21.2
hu,abaujlak,Abaújlak,04,,48.4,20.966667
hu,abaujsap,Abaújsáp,04,,48.316667,21
hu,abaujszanto,Abaújszántó,04,3366,48.283333,21.2
hu,abaujszolnok,Abaújszolnok,04,,48.366667,20.983333
hu,abaujvar,Abaújvár,04,,48.533333,21.316667
hu,abda,Abda,09,2997,47.694641,17.544885
hu,abod,Abod,04,,48.4,20.8
hu,abony,Abony,16,16342,47.1899,20.004759
hu,abonyiuti tanyak,Abonyiúti Tanyák,16,,47.333333,19.883333
hu,abrahamhegy,Ábrahámhegy,23,,46.809985,17.555613
hu,abrahamtelek,Ábrahámtelek,16,,47.298858,19.902855
hu,abrahamtelep,Ábrahámtelep,16,,47.298858,19.902855
hu,abrand,Ábránd,18,,47.883333,22.1
hu,abranytanya,Ábránytanya,18,,48.05,22.75
hu,acsa,Acsa,16,,47.795812,19.382667
hu,acs,Ács,01,,46.683333,19.166667
hu,acs,Ács,12,7180,47.712314,18.011313
hu,acsad,Acsád,22,,47.32493,16.733496
hu,acsadi malom,Acsádi Malom,22,,47.35,16.75
hu,acsalag,Acsalag,09,,47.678461,17.197077
hu,acsas,Ácsás,10,,47.15,21.516667
hu,acsaspuszta,Acsáspuszta,10,,47.15,21.516667
hu,acsaujlak,Acsaújlak,16,,47.812479,19.369913
hu,acsaujlak-puszta,Acsaújlak-puszta,16,,47.812479,19.369913
hu,acsi csoszhaz,Acsi Csoszhaz,01,,46.683333,19.166667
hu,acstanya,Ácstanya,09,,47.916667,17.166667
hu,acstanya,Ácstanya,10,,47.45,21.966667
hu,acstanya,Ácstanya,16,,47.383333,19.233333
hu,acsteszer,Ácsteszér,12,,47.406317,18.005638
hu,acsteszeripuszta,Ácsteszéripuszta,12,,47.417524,18.02391
hu,acsteszer-puszta,Ácsteszér-puszta,12,,47.417524,18.02391
hu,adacs,Adács,11,2890,47.6921,19.976956
hu,adacsierdo,Adacsierdo,01,,46.95,19.366667
hu,adamdulo,Adamdulo,10,,47.45,21.4
hu,adamhegy,Ádámhegy,24,,46.483333,17.05
hu,adam-puszta,Ádám-puszta,10,,47.216667,21.85
hu,adamtanya,Ádámtanya,10,,47.216667,21.85
hu,adamtanya,Ádámtanya,20,,47.616667,20.766667
hu,adand,Ádánd,17,2306,46.85931,18.164423
hu,adasztevel,Adásztevel,23,,47.30341,17.540865
hu,adlerszollos,Adlerszollos,11,,47.6,20.283333
hu,adolfmajor,Adolfmajor,24,,47.018849,17.08726
hu,adony,Adony,08,3812,47.119398,18.864929
hu,adorjanpuszta,Adorjánpuszta,02,,46.101779,17.738071
hu,adorjanpuszta,Adorjánpuszta,21,,46.634094,18.337436
hu,adorjantanya,Adorjántanya,02,,45.783333,18.433333
hu,adorjantanya,Adorjántanya,04,,47.95,20.85
hu,adorjanujtelep,Adorjánújtelep,21,,46.633333,18.283333
hu,adorjas,Adorjás,02,,45.850556,18.062778
hu,adriantelep,Adriántelep,04,,48.166667,20.633333
hu,adrienne-puszta,Adríenne-puszta,14,,47.834285,19.404484
hu,adyliget,Adyliget,05,,47.55,18.933333
hu,afrikamajor,Afrikamajor,22,,47.283333,16.783333
hu,ag,Ág,02,,46.283333,18.2
hu,agard,Agárd,08,,47.194941,18.607279
hu,agardidulo,Agardidulo,11,,47.9,20.35
hu,agardi villatelep,Agárdi Villatelep,08,,47.2,18.633333
hu,agardivolgy,Agárdivölgy,21,,46.35,18.7
hu,agardpuszta,Agárdpuszta,08,,47.194941,18.607279
hu,agardytelep,Agárdytelep,01,,46.816667,19.383333
hu,agarhalom,Agárhalom,01,,46.616667,19.283333
hu,agasegyhaza,Ágasegyháza,01,1898,46.840255,19.452077
hu,agasegyhazi tanyak,Ágasegyházi Tanyák,01,,46.85,19.416667
hu,agaserdo,Agaserdo,02,,46.088925,18.802725
hu,agasto,Ágastó,21,,46.133333,18.783333
hu,agasvar,Ágasvár,21,,47.933333,19.833333
hu,agerdo,Agerdo,18,,47.759913,22.420425
hu,agerdomajor,Agerdomajor,18,,47.759913,22.420425
hu,agfalva,Ágfalva,09,1971,47.68991,16.516576
hu,aggato,Aggató,17,,46.7,17.3
hu,aggszentpeter,Aggszentpéter,08,,47.216667,18.8
hu,aggtelek,Aggtelek,04,,48.466667,20.516667
hu,aghely,Ághely,09,,47.55,17.416667
hu,agnesakna,Ágnesakna,12,,47.716667,18.733333
hu,agnesforras,Ágnesforrás,08,,47.242076,18.342327
hu,agnesmajor,Ágnesmajor,08,,47.216667,18.25
hu,ago,Ágó,13,,48.1,20.583333
hu,agocpuszta,Ágócpuszta,04,,48.333333,21.666667
hu,agoctanya,Ágóctanya,04,,48.333333,21.666667
hu,agoi patakdulo,Agoi Patakdulo,20,,47.608756,19.848583
hu,agoiretdulo,Agoiretdulo,20,,47.587341,19.88142
hu,agoi szollo,Agoi Szollo,20,,47.6,19.866667
hu,agostmajor,Ágostmajor,08,,46.95,18.483333
hu,agostonhalom,Ágostonhalom,06,,46.266667,20.433333
hu,agostonmajor,Ágostonmajor,16,,47.137806,19.489721
hu,agostonmajor,Ágostonmajor,23,,47.05,17.783333
hu,agostonpuszta,Ágostonpuszta,08,,46.935427,18.317333
hu,agostonpuszta,Ágostonpuszta,21,,46.383333,18.7
hu,agostontanya,Ágostontanya,04,,47.85,20.583333
hu,agostyan,Ágostyán,12,,47.652891,18.31838
hu,agotazug,Ágotazug,10,,47.366667,21.083333
hu,agraregyetem,Agráregyetem,07,,47.6,21.65
hu,agtanya,Ágtanya,16,,47.166667,19.333333
hu,agyagbanya,Agyagbánya,16,,47.35,19.45
hu,agyaglika,Agyaglika,23,,46.902887,17.704207
hu,agyaglik,Agyaglik,23,,46.902887,17.704207
hu,agyagoskert,Agyagoskert,20,,47.316667,20.933333
hu,agyagosszergeny,Agyagosszergény,09,,47.61009,16.937942
hu,ajak,Ajak,18,3983,48.176636,22.062734
hu,ajaki tanya,Ajaki Tanya,18,,48.183333,22.066667
hu,ajka,Ajka,23,31407,47.101963,17.558923
hu,ajkai tanyak,Ajkai Tanyák,23,,47.1,17.566667
hu,ajkarendek,Ajkarendek,23,,47.101963,17.558923
hu,ajkarendeki tanyak,Ajkarendeki Tanyák,23,,47.135296,17.568958
hu,ajkarendek tanyak,Ajkarendek Tanyák,23,,47.135296,17.568958
hu,ajmaniczadulo,Ajmaniczadulo,16,,47.616667,19.05
hu,ajtos,Ajtós,20,,47.433333,20.8
hu,ajtoshat,Ajtóshát,20,,47.383333,20.483333
hu,aka,Aka,12,,47.402356,18.071271
hu,akacaslok,Akácáslók,17,,46.403795,17.564687
hu,akacasmajor,Akácásmajor,23,,47.466667,17.733333
hu,akacdulo,Akacdulo,10,,47.45,21.4
hu,akademiafold,Akadémiaföld,20,,47.15,20.083333
hu,akademia-tanya,Akadémia-tanya,16,,47.146288,20.026385
hu,akademia tanyaja,Akadémia Tanyája,16,,47.146288,20.026385
hu,akalacs,Akalacs,21,,46.66469,18.757457
hu,akali,Akali,23,,46.881862,17.753169
hu,akarattya,Akarattya,23,,47.019451,18.156495
hu,akaszto,Akasztó,01,3480,46.691667,19.204233
hu,akaszto,Akasztó,03,,47.133333,21.083333
hu,akaszto,Akasztó,20,,47.166667,20.35
hu,akasztodomb,Akasztódomb,23,,46.8,17.433333
hu,akasztodulo,Akasztodulo,20,,47.166667,20.35
hu,akasztofadulo,Akasztofadulo,02,,45.85,18.3
hu,akasztofahegy,Akasztófahegy,10,,47.533333,21.9
hu,akasztohegy,Akasztóhegy,20,,46.85,20.066667
hu,akasztohegyi szollo,Akasztohegyi Szollo,20,,46.85,20.066667
hu,akasztoi tanya,Akasztói Tanya,01,,46.766667,19.3
hu,aklipuszta,Aklipuszta,23,,47.230121,17.834404
hu,aklos,Aklos,03,,47.016667,21.183333
hu,akna,Akna,23,,47.083333,17.6
hu,akohegy,Akóhegy,08,,46.833333,18.833333
hu,akol,Akol,02,,45.816667,18.333333
hu,akoldulo,Akoldulo,10,,47.45,21.4
hu,akolhat,Akolhát,11,,47.45,20.416667
hu,akolhati puszta,Akolháti Puszta,11,,47.45,20.416667
hu,akolmajor,Akolmajor,06,,46.65,20.1
hu,alacska,Alacska,04,,48.216667,20.65
hu,alacskai-koszenbanyatelep,Alacskai-Koszenbanyatelep,04,,48.233333,20.633333
hu,alacskaiszenbanya,Alacskaiszénbánya,04,,48.233333,20.633333
hu,aladarmajor,Aladármajor,06,,46.183333,20.366667
hu,aladarmajor,Aladármajor,08,,47.084938,18.822728
hu,alag,Alag,16,,47.633333,19.15
hu,alagi major,Alagi Major,16,,47.602304,19.151816
hu,alajarodulo,Alajarodulo,08,,46.983333,18.933333
hu,alajaroduloi tanyak,Alajaroduloi Tanyak,08,,46.983333,18.933333
hu,alajoshazatanya,Alajosházatanya,04,,47.883333,20.666667
hu,alap,Alap,08,2149,46.799145,18.689383
hu,alapi resz,Alapi Rész,08,,46.783333,18.733333
hu,alatka,Alatka,11,,47.666667,20.233333
hu,alatka,Alatka,20,,47.216667,20.4
hu,alatkaoldal,Alatkaoldal,20,,47.216667,20.4
hu,alattyan,Alattyán,20,2004,47.427051,20.042195
hu,albertakna,Albertakna,14,,48.106673,19.747145
hu,albertfalva,Albertfalva,05,,47.435017,19.036142
